par,algoritmo,tempo_medio,tempo_std,nos_medio,nos_std,tamanho_medio,tamanho_std,custo_medio,custo_std,mem_medio,mem_std,caminho_final
GRU->HND,dijkstra,5.855560302734375e-05,2.7742171130983573e-05,12.0,0.0,3.0,0.0,18730.993572680753,0.0,1700.8,793.5999999999999,"['GRU', 'LAX', 'HND']"
GRU->HND,a_estrela,9.417533874511719e-05,4.191368784272083e-05,5.0,0.0,3.0,0.0,18730.993572680753,0.0,1102.4,880.8490449560583,"['GRU', 'LAX', 'HND']"
GRU->HND,busca_gulosa,6.580352783203125e-05,1.1567601652820781e-05,3.0,0.0,3.0,0.0,20151.71275927175,0.0,968.0,0.0,"['GRU', 'DXB', 'HND']"
GRU->HND,busca_profundidade,7.920265197753906e-05,2.493607597802077e-05,11.0,0.0,11.0,0.0,65502.65114754124,0.0,2128.0,0.0,"['GRU', 'AMS', 'CDG', 'DOH', 'DXB', 'FRA', 'GIG', 'JFK', 'IST', 'LAX', 'HND']"
GRU->HND,busca_largura,5.8031082153320314e-05,7.411098774140521e-06,12.0,0.0,3.0,0.0,19112.05143602126,0.0,2208.0,0.0,"['GRU', 'CDG', 'HND']"
GIG->NRT,dijkstra,4.644393920898438e-05,6.594159665322314e-06,11.0,0.0,3.0,0.0,18559.813629043743,0.0,1340.8,25.599999999999998,"['GIG', 'JFK', 'NRT']"
GIG->NRT,a_estrela,4.3725967407226564e-05,7.45850142012061e-06,3.0,0.0,3.0,0.0,18559.813629043743,0.0,440.0,0.0,"['GIG', 'JFK', 'NRT']"
GIG->NRT,busca_gulosa,4.46319580078125e-05,6.328475266015575e-06,3.0,0.0,3.0,0.0,19863.0721741133,0.0,904.0,0.0,"['GIG', 'DXB', 'NRT']"
GIG->NRT,busca_profundidade,5.45501708984375e-05,8.182169944306048e-06,12.0,0.0,11.0,0.0,61260.581856227924,0.0,2104.0,0.0,"['GIG', 'AMS', 'CDG', 'DOH', 'DXB', 'FRA', 'GRU', 'IST', 'JFK', 'LAX', 'NRT']"
GIG->NRT,busca_largura,4.84466552734375e-05,3.857373889190041e-06,11.0,0.0,3.0,0.0,18878.497647708078,0.0,2232.0,0.0,"['GIG', 'AMS', 'NRT']"
GRU->DXB,dijkstra,3.8623809814453125e-05,4.132283028277071e-06,10.0,0.0,2.0,0.0,12217.0797088119,0.0,1296.0,0.0,"['GRU', 'DXB']"
GRU->DXB,a_estrela,2.6845932006835936e-05,7.5749601144068116e-06,2.0,0.0,2.0,0.0,12217.0797088119,0.0,424.0,0.0,"['GRU', 'DXB']"
GRU->DXB,busca_gulosa,3.2806396484375e-05,7.199451580088526e-06,2.0,0.0,2.0,0.0,12217.0797088119,0.0,880.0,0.0,"['GRU', 'DXB']"
GRU->DXB,busca_profundidade,2.5987625122070312e-05,4.84875633960196e-06,5.0,0.0,5.0,0.0,15520.128487810414,0.0,1104.0,0.0,"['GRU', 'AMS', 'CDG', 'DOH', 'DXB']"
GRU->DXB,busca_largura,2.5463104248046874e-05,3.791979856886109e-06,5.0,0.0,2.0,0.0,12217.0797088119,0.0,1616.0,0.0,"['GRU', 'DXB']"
DOH->IST,dijkstra,1.3065338134765624e-05,3.5440262176632014e-06,3.0,0.0,2.0,0.0,2755.929091794752,0.0,504.0,0.0,"['DOH', 'IST']"
DOH->IST,a_estrela,2.3317337036132812e-05,6.245292650111124e-06,2.0,0.0,2.0,0.0,2755.929091794752,0.0,360.0,0.0,"['DOH', 'IST']"
DOH->IST,busca_gulosa,2.6416778564453124e-05,5.284939194678272e-06,2.0,0.0,2.0,0.0,2755.929091794752,0.0,816.0,0.0,"['DOH', 'IST']"
DOH->IST,busca_profundidade,4.863739013671875e-05,1.0268065704066502e-05,8.0,0.0,8.0,0.0,35867.85956830977,0.0,1848.0,0.0,"['DOH', 'AMS', 'CDG', 'DXB', 'FRA', 'GIG', 'GRU', 'IST']"
DOH->IST,busca_largura,3.428459167480469e-05,6.474107145483877e-06,7.0,0.0,2.0,0.0,2755.929091794752,0.0,2160.0,0.0,"['DOH', 'IST']"
DOH->HND,dijkstra,3.409385681152344e-05,3.1951647887708577e-06,8.0,0.0,3.0,0.0,8312.36625171989,0.0,1264.0,0.0,"['DOH', 'DXB', 'HND']"
DOH->HND,a_estrela,5.087852478027344e-05,7.847702449160127e-06,3.0,0.0,3.0,0.0,8312.36625171989,0.0,504.0,0.0,"['DOH', 'DXB', 'HND']"
DOH->HND,busca_gulosa,6.399154663085937e-05,7.82012939453125e-06,4.0,0.0,3.0,0.0,8312.36625171989,0.0,984.0,0.0,"['DOH', 'DXB', 'HND']"
DOH->HND,busca_profundidade,5.1021575927734375e-05,4.998836557761336e-06,11.0,0.0,11.0,0.0,56681.277131131195,0.0,2184.0,0.0,"['DOH', 'AMS', 'CDG', 'DXB', 'FRA', 'GIG', 'GRU', 'IST', 'JFK', 'LAX', 'HND']"
DOH->HND,busca_largura,5.5694580078125e-05,5.821711093962683e-06,12.0,0.0,3.0,0.0,14676.035994210246,0.0,2216.0,0.0,"['DOH', 'CDG', 'HND']"
